Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen touches,Def 3rd touches,Mid 3rd touches,Att 3rd touches,Touches in Box,Live ball touches,Successful Dribbles,Attempted Dribbles,Successful Dribble %,Players dribbled past,Megs,Carries,Total Distance carries,ProgDist carries,Pass Targets,Passes Received,Passes Received %,Miscon,Passes Dispossed
Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,23,1995,27.8,1518.0,213.0,835.0,711.0,50.0,11.0,1475.0,11.0,15.0,73.3,12.0,0.0,962.0,5392.0,2312.0,954.0,934.0,97.9,5.0,8.0
Ola Aina,ng NGA,DF,Torino,it Serie A,22,1996,23.1,1476.0,76.0,431.0,728.0,432.0,34.0,1243.0,56.0,94.0,59.6,59.0,1.0,922.0,6764.0,4212.0,937.0,855.0,91.2,20.0,27.0
Youssef Aït Bennasser,ma MAR,MF,Bordeaux,fr Ligue 1,23,1996,6.0,473.0,12.0,81.0,365.0,47.0,1.0,466.0,6.0,12.0,50.0,7.0,0.0,340.0,1357.0,678.0,369.0,349.0,94.6,7.0,6.0
Rayan Aït Nouri,fr FRA,DF,Angers,fr Ligue 1,18,2001,14.2,996.0,40.0,310.0,491.0,269.0,16.0,846.0,19.0,41.0,46.3,22.0,2.0,617.0,3810.0,2409.0,609.0,565.0,92.8,20.0,20.0
Albian Ajeti,ch SUI,"MF,FW",West Ham,eng Premier League,22,1997,1.5,33.0,0.0,1.0,9.0,24.0,9.0,32.0,0.0,0.0,0.0,0.0,0.0,16.0,75.0,16.0,64.0,24.0,37.5,5.0,3.0
Ludovic Ajorque,re REU,FW,Strasbourg,fr Ligue 1,25,1994,22.9,755.0,22.0,52.0,415.0,315.0,110.0,731.0,14.0,27.0,51.9,15.0,1.0,404.0,1900.0,874.0,977.0,580.0,59.4,73.0,23.0
Manuel Akanji,ch SUI,DF,Dortmund,de Bundesliga,24,1995,25.7,2161.0,235.0,1146.0,1087.0,82.0,15.0,2093.0,8.0,12.0,66.7,9.0,1.0,1589.0,9126.0,4667.0,1683.0,1657.0,98.5,10.0,6.0
Marley Aké,fr FRA,"FW,MF",Marseille,fr Ligue 1,18,2001,1.1,43.0,1.0,8.0,20.0,17.0,2.0,41.0,3.0,4.0,75.0,3.0,0.0,35.0,246.0,133.0,46.0,28.0,60.9,2.0,2.0
Nathan Aké,nl NED,DF,Bournemouth,eng Premier League,24,1995,27.8,1508.0,277.0,923.0,595.0,86.0,34.0,1455.0,5.0,5.0,100.0,5.0,0.0,845.0,5259.0,2906.0,948.0,900.0,94.9,7.0,5.0
Chadrac Akolo,cd COD,"FW,MF",Amiens,fr Ligue 1,24,1995,6.0,281.0,5.0,50.0,146.0,105.0,15.0,278.0,11.0,19.0,57.9,12.0,0.0,224.0,1065.0,607.0,256.0,196.0,76.6,6.0,14.0
Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,24,1995,12.7,908.0,147.0,527.0,407.0,31.0,1.0,882.0,3.0,4.0,75.0,3.0,0.0,622.0,3094.0,1682.0,637.0,619.0,97.2,3.0,11.0
David Alaba,at AUT,DF,Bayern Munich,de Bundesliga,27,1992,27.8,2662.0,194.0,1068.0,1590.0,248.0,14.0,2555.0,6.0,10.0,60.0,7.0,0.0,2026.0,13997.0,7669.0,2099.0,2068.0,98.5,9.0,4.0
Sofiane Alakouch,fr FRA,DF,Nîmes,fr Ligue 1,21,1998,15.6,992.0,43.0,309.0,470.0,282.0,25.0,802.0,20.0,34.0,58.8,20.0,2.0,540.0,3248.0,2168.0,558.0,509.0,91.2,14.0,12.0
